ts	phase	decision	why	evidence	result
2026-09-06T08:20:03Z	P1	Initialiser kuro sur main sans commit	Préparer un dépôt documentaire isolé avant la revue	docs/passations/p1-cadrage.md	git init réussi, aucun commit
2026-09-06T08:20:03Z	P1	Fixer la cible M1 à 20 000 albums avec sources locales et NAS	Conserver les paramètres confirmés sans reporter le volume à M6	docs/contexte-utilisateur.md	MVP-02 et MVP-03 définis
2026-09-06T08:20:03Z	P1	Conserver licence, formats et environnement comme décisions ouvertes	Aucune approbation ni mesure ne permet de les figer	docs/produit-et-mvp.md	O-01 à O-07 ouverts
2026-09-06T08:20:03Z	P1	Adapter les playbooks au programme documentaire autorisé	Les prototypes, changements machine et autres modèles sont exclus	docs/checklist.md	Exceptions explicites, revue prose directe en remplacement de deslop absent
2026-09-06T08:20:03Z	P1	Séquencer cinq phases avec un seul écrivain et revue avant dépendants	Chaque phase doit fournir une base vérifiable à la suivante	docs/programme.md	Passage P1 en attente de revue
2026-09-06T08:20:30Z	P1	Vérifier les fichiers remis avant revue	Contrôler le résultat réel de P1 avant les dépendants	docs/passations/p1-cadrage.md	6 Markdown, 13 liens locaux, 5 lignes initiales TSV sans erreur; main sans commit; recherche secrets sans résultat
2026-09-06T08:21:18Z	P1	Valider le passage P1 vers P2 après revue du coordinateur	La lecture des six Markdown et du journal et le contrôle indépendant satisfont les critères P1	docs/passations/p1-cadrage.md	Revue manager validée: 6 Markdown, 13 liens locaux, 6 décisions, 0 erreur; commits locaux autorisés
2026-09-06T08:34:53Z	P2	Corriger le décompte manager de quatorze à quinze familles	La liste transmise comprend le mobile futur en quinzième position	docs/inventaire-roon.md	Correction de comptage sans changement de périmètre
2026-09-06T08:34:53Z	P2	Séparer preuve Roon et dispositions kuro dans douze colonnes	Une capacité documentaire ne prouve ni faisabilité ni validation future	docs/inventaire-fonctions.tsv	Dates et portées explicites; propriétaires et milestones proposés
2026-09-06T08:34:53Z	P2	Conserver contradictions playlists, nugs, crédits, MQA et Radio	Les sources primaires mélangent plusieurs générations	docs/inventaire-roon.md	Cinq entrées contradictoires; aucune résolution runtime inventée
2026-09-06T08:34:53Z	P2	Maintenir contraintes M1 distinctes des capacités Roon	NAS absent, autonomie, volume et fichiers intacts sont des exigences kuro	docs/inventaire-fonctions.tsv	Sous-ensemble de formats M1 à définir; DSD envisagé M3; licences dépendances examinées dès M1
2026-09-06T08:34:53Z	P2	Compléter le corpus au-delà des listes historiques	Smart Playlists, Listen Later, OPRA, nugs, dossiers et exports ont des sources distinctes	docs/sources.md	84 sources externes ouvertes; 0 comportement applicatif testé
2026-09-06T08:36:44Z	P2	Vérifier la remise documentaire avant revue manager	Contrôler les fichiers réels et conserver la commande rejouable	docs/passations/p2-inventaire.md	195 fonctions; 84 sources externes; 15 familles; 9 Markdown; 76 liens locaux; 0 erreur; aucun test applicatif
2026-09-06T08:37:56Z	P2	Valider le passage P2 vers P3 après revue du coordinateur	Lecture complète inventaire et registre puis sondage sources et contrôle indépendant	docs/passations/p2-inventaire.md	195 fonctions; 84 sources; 15 familles; 76 liens; 0 erreur; commit local autorisé sans push
